DG(16:1(9Z)/17:1(9Z)/0:0)[iso2],C36H66O5
"DG(16:0/17:2(9Z,12Z)/0:0)[iso2]",C36H66O5
DG(17:0/17:1(9Z)/0:0)[iso2],C37H70O5
"DG(16:1(9Z)/17:2(9Z,12Z)/0:0)[iso2]",C36H64O5
DG(16:0/18:0/0:0)[iso2],C37H72O5
DG(17:1(9Z)/17:1(9Z)/0:0),C37H68O5
"DG(17:0/17:2(9Z,12Z)/0:0)[iso2]",C37H68O5
DG(16:1(9Z)/18:0/0:0)[iso2],C37H70O5
"DG(17:1(9Z)/17:2(9Z,12Z)/0:0)[iso2]",C37H66O5
DG(17:0/18:0/0:0)[iso2],C38H74O5
DG(16:1(9Z)/18:1(9Z)/0:0)[iso2],C37H68O5
"DG(16:0/18:2(9Z,12Z)/0:0)[iso2]",C37H68O5
"DG(17:2(9Z,12Z)/17:2(9Z,12Z)/0:0)",C37H64O5
DG(17:1(9Z)/18:0/0:0)[iso2],C38H72O5
DG(17:0/18:1(9Z)/0:0)[iso2],C38H72O5
"DG(16:1(9Z)/18:2(9Z,12Z)/0:0)[iso2]",C37H66O5
"DG(16:0/18:3(9Z,12Z,15Z)/0:0)[iso2]",C37H66O5
"DG(17:2(9Z,12Z)/18:0/0:0)[iso2]",C38H70O5
"DG(17:0/18:2(9Z,12Z)/0:0)[iso2]",C38H70O5
"DG(16:1(9Z)/18:3(9Z,12Z,15Z)/0:0)[iso2]",C37H64O5
DG(16:0/19:0/0:0)[iso2],C38H74O5
DG(18:0/18:0/0:0),C39H76O5
"DG(17:2(9Z,12Z)/18:1(9Z)/0:0)[iso2]",C38H68O5
"DG(17:1(9Z)/18:2(9Z,12Z)/0:0)[iso2]",C38H68O5
"DG(17:0/18:3(9Z,12Z,15Z)/0:0)[iso2]",C38H68O5
DG(16:1(9Z)/19:0/0:0)[iso2],C38H72O5
DG(16:0/20:0/0:0)[iso2],C39H76O5
DG(18:0/18:1(9Z)/0:0)[iso2],C39H74O5
"DG(17:2(9Z,12Z)/18:2(9Z,12Z)/0:0)[iso2]",C38H66O5
"DG(17:1(9Z)/18:3(9Z,12Z,15Z)/0:0)[iso2]",C38H66O5
DG(17:0/19:0/0:0)[iso2],C39H76O5
DG(16:1(9Z)/20:0/0:0)[iso2],C39H74O5
DG(16:0/20:1(11Z)/0:0)[iso2],C39H74O5
DG(18:1(9Z)/18:1(9Z)/0:0),C39H72O5
"DG(18:0/18:2(9Z,12Z)/0:0)[iso2]",C39H72O5
"DG(17:2(9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)[iso2]",C38H64O5
DG(17:1(9Z)/19:0/0:0)[iso2],C39H74O5
DG(17:0/20:0/0:0)[iso2],C40H78O5
DG(16:1(9Z)/20:1(11Z)/0:0)[iso2],C39H72O5
"DG(16:0/20:2(11Z,14Z)/0:0)[iso2]",C39H72O5
"DG(18:1(9Z)/18:2(9Z,12Z)/0:0)[iso2]",C39H70O5
"DG(18:0/18:3(9Z,12Z,15Z)/0:0)[iso2]",C39H70O5
"DG(17:2(9Z,12Z)/19:0/0:0)[iso2]",C39H72O5
DG(17:1(9Z)/20:0/0:0)[iso2],C40H76O5
DG(17:0/20:1(11Z)/0:0)[iso2],C40H76O5
"DG(16:1(9Z)/20:2(11Z,14Z)/0:0)[iso2]",C39H70O5
"DG(16:0/20:3(8Z,11Z,14Z)/0:0)[iso2]",C39H70O5
"DG(18:2(9Z,12Z)/18:2(9Z,12Z)/0:0)",C39H68O5
"DG(18:1(9Z)/18:3(9Z,12Z,15Z)/0:0)[iso2]",C39H68O5
DG(18:0/19:0/0:0)[iso2],C40H78O5
"DG(17:2(9Z,12Z)/20:0/0:0)[iso2]",C40H74O5
DG(17:1(9Z)/20:1(11Z)/0:0)[iso2],C40H74O5
"DG(17:0/20:2(11Z,14Z)/0:0)[iso2]",C40H74O5
"DG(16:1(9Z)/20:3(8Z,11Z,14Z)/0:0)[iso2]",C39H68O5
"DG(16:0/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2]",C39H68O5
"DG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)[iso2]",C39H66O5
DG(18:1(9Z)/19:0/0:0)[iso2],C40H76O5
DG(18:0/20:0/0:0)[iso2],C41H80O5
"DG(17:2(9Z,12Z)/20:1(11Z)/0:0)[iso2]",C40H72O5
"DG(17:1(9Z)/20:2(11Z,14Z)/0:0)[iso2]",C40H72O5
"DG(17:0/20:3(8Z,11Z,14Z)/0:0)[iso2]",C40H72O5
"DG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2]",C39H66O5
"DG(16:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]",C39H66O5
"DG(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z)/0:0)",C39H64O5
"DG(18:2(9Z,12Z)/19:0/0:0)[iso2]",C40H74O5
DG(18:1(9Z)/20:0/0:0)[iso2],C41H78O5
DG(18:0/20:1(11Z)/0:0)[iso2],C41H78O5
"DG(17:2(9Z,12Z)/20:2(11Z,14Z)/0:0)[iso2]",C40H70O5
"DG(17:1(9Z)/20:3(8Z,11Z,14Z)/0:0)[iso2]",C40H70O5
"DG(17:0/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2]",C40H70O5
"DG(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]",C39H64O5
DG(16:0/21:0/0:0)[iso2],C40H78O5
"DG(18:3(9Z,12Z,15Z)/19:0/0:0)[iso2]",C40H72O5
"DG(18:2(9Z,12Z)/20:0/0:0)[iso2]",C41H76O5
DG(18:1(9Z)/20:1(11Z)/0:0)[iso2],C41H76O5
"DG(18:0/20:2(11Z,14Z)/0:0)[iso2]",C41H76O5
"DG(17:2(9Z,12Z)/20:3(8Z,11Z,14Z)/0:0)[iso2]",C40H68O5
"DG(17:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2]",C40H68O5
"DG(17:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]",C40H68O5
DG(16:1(9Z)/21:0/0:0)[iso2],C40H76O5
DG(16:0/22:0/0:0)[iso2],C41H80O5
DG(19:0/19:0/0:0),C41H80O5
