"PE-Cer(d14:1(4E)/25:0)","C41H83N2O6P"
"HexCer(d24:0)","C30H59NO8"
"PE-Cer(d14:1(4E)/18:0)","C34H69N2O6P"
"PC(28:6(10Z,13Z,16Z,19Z,22Z,25Z)/28:0)","C64H116NO8P"
"PC(22:3(10Z,13Z,16Z)/16:2(9Z,12Z))","C46H82NO8P"
"PC(18:1(11E)/28:5(10Z,13Z,16Z,19Z,22Z))","C54H96NO8P"
"PC(13:0/16:2(9Z,12Z))","C37H70NO8P"
"PC(26:5(11Z,14Z,17Z,20Z,23Z)/32:5(17Z,20Z,23Z,26Z,29Z))","C66H112NO8P"
"PC(26:5(11Z,14Z,17Z,20Z,23Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C54H88NO8P"
"PC(26:5(11Z,14Z,17Z,20Z,23Z)/18:4(6Z,9Z,12Z,15Z))","C52H86NO8P"
"PC(20:3(11Z,14Z,17Z)/36:4(21Z,24Z,27Z,30Z))","C64H114NO8P"
"PC(20:3(11Z,14Z,17Z)/4:0)","C32H58NO8P"
"PC(20:3(11Z,14Z,17Z)/14:0)","C42H78NO8P"
"PC(20:3(11Z,14Z,17Z)/30:0)","C58H110NO8P"
"PC(20:2(11Z,14Z)/16:1(9Z))","C44H82NO8P"
"PC(18:1(11Z)/26:4(11Z,14Z,17Z,20Z))","C52H94NO8P"
"PC(18:1(11Z)/16:1(6Z))","C42H80NO8P"
"PC(30:6(12Z,15Z,18Z,21Z,24Z,27Z)/28:4(13Z,16Z,19Z,22Z))","C66H112NO8P"
"PC(30:6(12Z,15Z,18Z,21Z,24Z,27Z)/18:3(6Z,9Z,12Z))","C56H94NO8P"
"PC(30:5(12Z,15Z,18Z,21Z,24Z)/30:5(15Z,18Z,21Z,24Z,27Z))","C68H116NO8P"
"PC(15:0/30:4(15Z,18Z,21Z,24Z))","C53H98NO8P"
"PC(15:0/36:5(21Z,24Z,27Z,30Z,33Z))","C59H108NO8P"
"PC(28:5(13Z,16Z,19Z,22Z,25Z)/24:4(9Z,12Z,15Z,18Z))","C60H102NO8P"
"PC(28:5(13Z,16Z,19Z,22Z,25Z)/16:2(9Z,12Z))","C52H90NO8P"
"PC(28:4(13Z,16Z,19Z,22Z)/20:0)","C56H104NO8P"
"PC(22:1(13Z)/28:4(13Z,16Z,19Z,22Z))","C58H106NO8P"
"PC(32:6(14Z,17Z,20Z,23Z,26Z,29Z)/24:4(9Z,12Z,15Z,18Z))","C64H108NO8P"
"PC(32:6(14Z,17Z,20Z,23Z,26Z,29Z)/18:2(9Z,12Z))","C58H100NO8P"
"PC(17:0/22:1(13Z))","C47H92NO8P"
"PC(17:0/34:4(19Z,22Z,25Z,28Z))","C59H110NO8P"
"PC(17:0/36:5(21Z,24Z,27Z,30Z,33Z))","C61H112NO8P"
"PC(17:0/38:4(23Z,26Z,29Z,32Z))","C63H118NO8P"
"PC(30:5(15Z,18Z,21Z,24Z,27Z)/10:0)","C48H86NO8P"
"PC(30:5(15Z,18Z,21Z,24Z,27Z)/8:0)","C46H82NO8P"
"PC(32:4(17Z,20Z,23Z,26Z)/30:6(12Z,15Z,18Z,21Z,24Z,27Z))","C70H120NO8P"
"PC(36:6(18Z,21Z,24Z,27Z,30Z,33Z)/20:3(11Z,14Z,17Z))","C64H110NO8P"
"PC(36:6(18Z,21Z,24Z,27Z,30Z,33Z)/24:0)","C68H124NO8P"
"PC(34:4(19Z,22Z,25Z,28Z)/8:0)","C50H92NO8P"
"PC(36:5(21Z,24Z,27Z,30Z,33Z)/26:0)","C70H130NO8P"
"PC(36:5(21Z,24Z,27Z,30Z,33Z)/18:0)","C62H114NO8P"
"PC(36:4(21Z,24Z,27Z,30Z)/10:0)","C54H100NO8P"
"PC(36:4(21Z,24Z,27Z,30Z)/3:0)","C47H86NO8P"
"PC(38:5(23Z,26Z,29Z,32Z,35Z)/22:4(7Z,10Z,13Z,16Z))","C68H118NO8P"
"PC(38:4(23Z,26Z,29Z,32Z)/30:4(15Z,18Z,21Z,24Z))","C76H136NO8P"
"PC(38:4(23Z,26Z,29Z,32Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C68H116NO8P"
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))","C52H84NO8P"
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:2(9Z,12Z))","C48H82NO8P"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:3(11Z,14Z,17Z))","C48H80NO8P"
"PC(20:4(5Z,8Z,11Z,14Z)/34:5(19Z,22Z,25Z,28Z,31Z))","C62H106NO8P"
"PC(20:4(5Z,8Z,11Z,14Z)/15:0)","C43H78NO8P"
"PC(24:6(6Z,9Z,12Z,15Z,18Z,21Z)/30:5(12Z,15Z,18Z,21Z,24Z))","C62H102NO8P"
"PC(24:6(6Z,9Z,12Z,15Z,18Z,21Z)/18:0)","C50H88NO8P"
"PC(24:5(6Z,9Z,12Z,15Z,18Z)/20:3(8Z,11Z,14Z))","C52H88NO8P"
"PC(24:5(6Z,9Z,12Z,15Z,18Z)/13:0)","C45H80NO8P"
"PC(18:4(6Z,9Z,12Z,15Z)/28:6(10Z,13Z,16Z,19Z,22Z,25Z))","C54H88NO8P"
"PC(18:3(6Z,9Z,12Z)/20:4(5Z,8Z,11Z,14Z))","C46H78NO8P"
"PC(16:1(6Z)/32:5(17Z,20Z,23Z,26Z,29Z))","C56H100NO8P"
"PC(16:1(6Z)/22:5(4Z,7Z,10Z,13Z,16Z))","C46H80NO8P"
"PC(18:1(6Z)/19:0)","C45H88NO8P"
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:3(11Z,14Z,17Z))","C50H84NO8P"
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/24:5(9Z,12Z,15Z,18Z,21Z))","C54H88NO8P"
"PC(26:6(8Z,11Z,14Z,17Z,20Z,23Z)/18:1(11E))","C52H90NO8P"
"PC(26:6(8Z,11Z,14Z,17Z,20Z,23Z)/26:4(11Z,14Z,17Z,20Z))","C60H100NO8P"
"PC(26:6(8Z,11Z,14Z,17Z,20Z,23Z)/16:1(6Z))","C50H86NO8P"
"PC(26:5(8Z,11Z,14Z,17Z,20Z)/18:1(11E))","C52H92NO8P"
"PC(20:3(8Z,11Z,14Z)/22:3(10Z,13Z,16Z))","C50H88NO8P"
"PC(20:3(8Z,11Z,14Z)/28:5(13Z,16Z,19Z,22Z,25Z))","C56H96NO8P"
"PC(18:2(9Z,11E)/18:4(6Z,9Z,12Z,15Z))","C44H76NO8P"
"PC(18:2(9Z,11E)/2:0)","C28H52NO8P"
"PC(18:2(9Z,11E)/3:0)","C29H54NO8P"
"PC(24:4(9Z,12Z,15Z,18Z)/28:0)","C60H112NO8P"
"PC(18:3(9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C48H78NO8P"
"PC(16:2(9Z,12Z)/12:0)","C36H68NO8P"
"PC(18:2(9Z,12Z)/26:6(8Z,11Z,14Z,17Z,20Z,23Z))","C52H88NO8P"
"PC(18:2(9Z,12Z)/28:0)","C54H104NO8P"
"PC(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C44H76NO8P"
"PC(18:1(9Z)/30:6(12Z,15Z,18Z,21Z,24Z,27Z))","C56H98NO8P"
"PC(18:1(9Z)/4:0)","C30H58NO8P"
"PC(18:1(9Z)/3:0)","C29H56NO8P"
"PC(14:1(9Z)/17:0)","C39H76NO8P"
"PC(28:4(13Z,16Z,19Z,22Z)/28:4(13Z,16Z,19Z,22Z))","C64H112NO8P"
"PC(2:0/38:4(23Z,26Z,29Z,32Z))","C48H88NO8P"
"PC(2:0/20:3(8Z,11Z,14Z))","C30H54NO8P"
"PC(4:0/36:4(21Z,24Z,27Z,30Z))","C48H88NO8P"
"PC(4:0/20:4(8Z,11Z,14Z,17Z))","C32H56NO8P"
"PC(4:0/26:0)","C38H76NO8P"
"PC(10:0/6:0)","C24H48NO8P"
"PC(12:0/20:1(11Z))","C40H78NO8P"
"PC(12:0/24:1(15Z))","C44H86NO8P"
"PC(12:0/34:5(19Z,22Z,25Z,28Z,31Z))","C54H98NO8P"
"PC(12:0/15:0)","C35H70NO8P"
"PC(20:0/22:3(10Z,13Z,16Z))","C50H94NO8P"
"PC(20:0/26:5(11Z,14Z,17Z,20Z,23Z))","C54H98NO8P"
"PC(20:0/18:1(9Z))","C46H90NO8P"
"PC(21:0/16:2(9Z,12Z))","C45H86NO8P"
"PC(17:0/17:0)","C42H84NO8P"
"PC(17:0/18:2(9Z,12Z))","C43H82NO8P"
"PC(16:0/15:0)","C39H78NO8P"
"PC(6:0/36:4(21Z,24Z,27Z,30Z))","C50H92NO8P"
"PC(6:0/16:1(6Z))","C30H58NO8P"
"PC(6:0/26:6(8Z,11Z,14Z,17Z,20Z,23Z))","C40H68NO8P"
"PC(19:0/32:6(14Z,17Z,20Z,23Z,26Z,29Z))","C59H106NO8P"
"PC(19:0/32:4(17Z,20Z,23Z,26Z))","C59H110NO8P"
"PC(19:0/16:2(9Z,12Z))","C43H82NO8P"
"PC(28:0/30:4(15Z,18Z,21Z,24Z))","C66H124NO8P"
"PC(28:0/18:3(9Z,12Z,15Z))","C54H102NO8P"
"PC(28:0/19:0)","C55H110NO8P"
"PC(18:0/6:0)","C32H64NO8P"
"PC(15:0/17:0)","C40H80NO8P"
"PC(15:0/18:2(9Z,12Z))","C41H78NO8P"
"PC(3:0/18:1(11Z))","C29H56NO8P"
"PC(3:0/2:0)","C13H26NO8P"
"PC(24:0/18:1(11E))","C50H98NO8P"
"PC(24:0/34:4(19Z,22Z,25Z,28Z))","C66H124NO8P"
"PC(24:0/16:1(6Z))","C48H94NO8P"
"PC(14:0/18:1(11E))","C40H78NO8P"
"PC(14:0/28:5(13Z,16Z,19Z,22Z,25Z))","C50H90NO8P"
"PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z))","C44H78NO8P"
"PC(14:0/18:0)","C40H80NO8P"
"PC(14:0/3:0)","C25H50NO8P"
"PC(13:0/20:3(8Z,11Z,14Z))","C41H76NO8P"
"PC(0:0/20:1(11Z))","C28H56NO7P"
"PC(0:0/36:6(18Z,21Z,24Z,27Z,30Z,33Z))","C44H78NO7P"
"PC(0:0/20:3(8Z,11Z,14Z))","C28H52NO7P"
"PC(0:0/14:1(9Z))","C22H44NO7P"
"PC(0:0/19:0)","C27H56NO7P"
"PC(26:6(8Z,11Z,14Z,17Z,20Z,23Z)/0:0)","C34H58NO7P"
"PC(O-13:0/20:3(8Z,11Z,14Z))","C41H78NO7P"
"PC(O-13:0/20:0)","C41H84NO7P"
"PC(O-20:1(11Z)/18:1(6Z))","C46H90NO7P"
"PC(O-20:1(11Z)/28:0)","C56H112NO7P"
"PC(O-18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C46H82NO7P"
"PC(O-15:0/24:5(6Z,9Z,12Z,15Z,18Z))","C47H86NO7P"
"PC(O-15:0/14:0)","C37H76NO7P"
"PC(O-22:1(13Z)/26:5(11Z,14Z,17Z,20Z,23Z))","C56H102NO7P"
"PC(O-17:0/26:5(8Z,11Z,14Z,17Z,20Z))","C51H94NO7P"
"PC(O-17:0/13:0)","C38H78NO7P"
"PC(O-18:2(9Z,12Z)/28:4(13Z,16Z,19Z,22Z))","C54H98NO7P"
"PC(O-18:2(9Z,12Z)/16:1(6Z))","C42H80NO7P"
"PC(O-18:2(9Z,12Z)/18:0)","C44H86NO7P"
"PC(O-18:1(9Z)/28:6(10Z,13Z,16Z,19Z,22Z,25Z))","C54H96NO7P"
"PC(O-18:1(9Z)/36:5(21Z,24Z,27Z,30Z,33Z))","C62H114NO7P"
"PC(O-18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C48H84NO7P"
"PC(O-22:0/4:0)","C34H70NO7P"
"PC(O-22:0/3:0)","C33H68NO7P"
"PC(O-20:0/20:2(11Z,14Z))","C48H94NO7P"
"PC(O-26:0/22:5(7Z,10Z,13Z,16Z,19Z))","C56H104NO7P"
"PC(O-26:0/22:0)","C56H114NO7P"
"PC(O-26:0/18:0)","C52H106NO7P"
"PC(O-16:0/38:4(23Z,26Z,29Z,32Z))","C62H118NO7P"
"PC(O-16:0/18:2(9Z,11E))","C42H82NO7P"
"PC(O-16:0/18:3(9Z,12Z,15Z))","C42H80NO7P"
"PC(O-16:0/28:0)","C52H106NO7P"
"PC(O-18:0/18:1(11E))","C44H88NO7P"
"PC(O-18:0/18:2(9Z,11E))","C44H86NO7P"
"PC(O-18:0/15:0)","C41H84NO7P"
"PC(O-30:0/13:0)","C51H104NO7P"
"PC(O-30:0/6:0)","C44H90NO7P"
"PE(O-13:0/28:5(10Z,13Z,16Z,19Z,22Z))","C46H84NO7P"
"PE(O-20:1(11Z)/18:1(11Z))","C43H84NO7P"
"PE(O-20:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))","C47H84NO7P"
"PE(O-20:1(11Z)/24:4(9Z,12Z,15Z,18Z))","C49H90NO7P"
"PE(O-20:1(11Z)/2:0)","C27H54NO7P"
"PE(O-20:1(11Z)/14:0)","C39H78NO7P"
"PE(O-18:1(11Z)/38:5(23Z,26Z,29Z,32Z,35Z))","C61H112NO7P"
"PE(O-18:1(11Z)/20:4(5Z,8Z,11Z,14Z))","C43H78NO7P"
"PE(O-22:1(13Z)/20:2(11Z,14Z))","C47H90NO7P"
"PE(O-22:1(13Z)/24:5(6Z,9Z,12Z,15Z,18Z))","C51H92NO7P"
"PE(O-22:1(13Z)/22:4(7Z,10Z,13Z,16Z))","C49H90NO7P"
"PE(O-17:0/26:6(8Z,11Z,14Z,17Z,20Z,23Z))","C48H86NO7P"
"PE(O-17:0/14:1(9Z))","C36H72NO7P"
"PE(O-18:2(9Z,12Z)/30:5(15Z,18Z,21Z,24Z,27Z))","C53H94NO7P"
"PE(O-18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C43H76NO7P"
"PE(O-18:1(9Z)/20:0)","C43H86NO7P"
"PE(O-20:0/36:6(18Z,21Z,24Z,27Z,30Z,33Z))","C61H112NO7P"
"PE(O-26:0/38:5(23Z,26Z,29Z,32Z,35Z))","C69H130NO7P"
"PE(O-18:0/4:0)","C27H56NO7P"
"PE(O-24:0/28:0)","C57H116NO7P"
"PE(O-14:0/22:1(13Z))","C41H82NO7P"
"PE(O-14:0/22:4(7Z,10Z,13Z,16Z))","C41H76NO7P"
"PE(O-14:0/18:0)","C37H76NO7P"
"PE(O-14:0/13:0)","C32H66NO7P"
"PE(O-30:0/34:6(16Z,19Z,22Z,25Z,28Z,31Z))","C69H128NO7P"
"PE(O-30:0/26:1(17Z))","C61H122NO7P"
"PE(22:3(10Z,13Z,16Z)/30:5(12Z,15Z,18Z,21Z,24Z))","C57H98NO8P"
"PE(22:3(10Z,13Z,16Z)/28:5(13Z,16Z,19Z,22Z,25Z))","C55H94NO8P"
"PE(22:3(10Z,13Z,16Z)/24:4(9Z,12Z,15Z,18Z))","C51H88NO8P"
"PE(18:1(11E)/28:6(10Z,13Z,16Z,19Z,22Z,25Z))","C51H88NO8P"
"PE(18:1(11E)/20:2(11Z,14Z))","C43H80NO8P"
"PE(13:0/18:3(6Z,9Z,12Z))","C36H66NO8P"
"PE(13:0/18:2(9Z,11E))","C36H68NO8P"
"PE(26:4(11Z,14Z,17Z,20Z)/22:2(13Z,16Z))","C53H94NO8P"
"PE(20:3(11Z,14Z,17Z)/32:6(14Z,17Z,20Z,23Z,26Z,29Z))","C57H96NO8P"
"PE(20:3(11Z,14Z,17Z)/32:4(17Z,20Z,23Z,26Z))","C57H100NO8P"
"PE(20:2(11Z,14Z)/18:3(9Z,12Z,15Z))","C43H76NO8P"
"PE(20:1(11Z)/16:0)","C41H80NO8P"
"PE(18:1(11Z)/30:5(15Z,18Z,21Z,24Z,27Z))","C53H94NO8P"
"PE(18:1(11Z)/38:4(23Z,26Z,29Z,32Z))","C61H112NO8P"
"PE(18:1(11Z)/16:1(9Z))","C39H74NO8P"
"PE(18:1(11Z)/21:0)","C44H86NO8P"
"PE(30:5(12Z,15Z,18Z,21Z,24Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C57H92NO8P"
"PE(30:5(12Z,15Z,18Z,21Z,24Z)/18:1(6Z))","C53H94NO8P"
"PE(15:0/20:4(5Z,8Z,11Z,14Z))","C40H72NO8P"
"PE(15:0/18:3(6Z,9Z,12Z))","C38H70NO8P"
"PE(15:0/18:3(9Z,12Z,15Z))","C38H70NO8P"
"PE(28:5(13Z,16Z,19Z,22Z,25Z)/15:0)","C48H86NO8P"
"PE(28:5(13Z,16Z,19Z,22Z,25Z)/24:1(15Z))","C57H102NO8P"
"PE(28:4(13Z,16Z,19Z,22Z)/18:1(11Z))","C51H92NO8P"
"PE(28:4(13Z,16Z,19Z,22Z)/18:3(6Z,9Z,12Z))","C51H88NO8P"
"PE(28:4(13Z,16Z,19Z,22Z)/4:0)","C37H66NO8P"
"PE(22:2(13Z,16Z)/18:3(9Z,12Z,15Z))","C45H80NO8P"
"PE(22:2(13Z,16Z)/16:2(9Z,12Z))","C43H78NO8P"
"PE(22:2(13Z,16Z)/2:0)","C29H54NO8P"
"PE(22:1(13Z)/22:5(4Z,7Z,10Z,13Z,16Z))","C49H86NO8P"
"PE(32:6(14Z,17Z,20Z,23Z,26Z,29Z)/28:5(13Z,16Z,19Z,22Z,25Z))","C65H108NO8P"
"PE(32:6(14Z,17Z,20Z,23Z,26Z,29Z)/26:0)","C63H114NO8P"
"PE(17:0/32:5(17Z,20Z,23Z,26Z,29Z))","C54H98NO8P"
"PE(17:0/36:4(21Z,24Z,27Z,30Z))","C58H108NO8P"
"PE(17:0/19:0)","C41H82NO8P"
"PE(30:5(15Z,18Z,21Z,24Z,27Z)/18:1(11E))","C53H94NO8P"
"PE(30:5(15Z,18Z,21Z,24Z,27Z)/24:5(6Z,9Z,12Z,15Z,18Z))","C59H98NO8P"
"PE(30:5(15Z,18Z,21Z,24Z,27Z)/22:5(7Z,10Z,13Z,16Z,19Z))","C57H94NO8P"
"PE(32:5(17Z,20Z,23Z,26Z,29Z)/26:6(8Z,11Z,14Z,17Z,20Z,23Z))","C63H104NO8P"
"PE(32:4(17Z,20Z,23Z,26Z)/16:1(6Z))","C53H96NO8P"
"PE(26:1(17Z)/15:0)","C46H90NO8P"
"PE(34:5(19Z,22Z,25Z,28Z,31Z)/15:0)","C54H98NO8P"
"PE(34:5(19Z,22Z,25Z,28Z,31Z)/22:5(4Z,7Z,10Z,13Z,16Z))","C61H102NO8P"
"PE(36:4(21Z,24Z,27Z,30Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C63H106NO8P"
"PE(36:4(21Z,24Z,27Z,30Z)/26:5(8Z,11Z,14Z,17Z,20Z))","C67H116NO8P"
"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:3(10Z,13Z,16Z))","C49H80NO8P"
"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/26:5(11Z,14Z,17Z,20Z,23Z))","C53H84NO8P"
"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/28:5(13Z,16Z,19Z,22Z,25Z))","C55H88NO8P"
"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(6Z))","C45H76NO8P"
"PE(20:5(5Z,8Z,11Z,14Z,17Z)/12:0)","C37H64NO8P"
"PE(20:5(5Z,8Z,11Z,14Z,17Z)/14:0)","C39H68NO8P"
"PE(20:4(5Z,8Z,11Z,14Z)/26:5(8Z,11Z,14Z,17Z,20Z))","C51H84NO8P"
"PE(20:4(5Z,8Z,11Z,14Z)/18:3(9Z,12Z,15Z))","C43H72NO8P"
"PE(24:6(6Z,9Z,12Z,15Z,18Z,21Z)/24:5(9Z,12Z,15Z,18Z,21Z))","C53H84NO8P"
"PE(24:5(6Z,9Z,12Z,15Z,18Z)/22:1(13Z))","C51H90NO8P"
"PE(18:4(6Z,9Z,12Z,15Z)/20:4(5Z,8Z,11Z,14Z))","C43H70NO8P"
"PE(18:3(6Z,9Z,12Z)/26:0)","C49H92NO8P"
"PE(16:1(6Z)/38:5(23Z,26Z,29Z,32Z,35Z))","C59H106NO8P"
"PE(18:1(6Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C45H76NO8P"
"PE(18:1(6Z)/22:0)","C45H88NO8P"
"PE(22:4(7Z,10Z,13Z,16Z)/34:5(19Z,22Z,25Z,28Z,31Z))","C61H104NO8P"
"PE(26:6(8Z,11Z,14Z,17Z,20Z,23Z)/32:5(17Z,20Z,23Z,26Z,29Z))","C63H104NO8P"
"PE(26:6(8Z,11Z,14Z,17Z,20Z,23Z)/18:0)","C49H86NO8P"
"PE(20:4(8Z,11Z,14Z,17Z)/36:6(18Z,21Z,24Z,27Z,30Z,33Z))","C61H102NO8P"
"PE(20:4(8Z,11Z,14Z,17Z)/24:5(6Z,9Z,12Z,15Z,18Z))","C49H80NO8P"
"PE(20:4(8Z,11Z,14Z,17Z)/3:0)","C28H48NO8P"
"PE(18:2(9Z,11E)/16:2(9Z,12Z))","C39H70NO8P"
"PE(24:5(9Z,12Z,15Z,18Z,21Z)/28:4(13Z,16Z,19Z,22Z))","C57H96NO8P"
"PE(24:5(9Z,12Z,15Z,18Z,21Z)/22:5(4Z,7Z,10Z,13Z,16Z))","C51H82NO8P"
"PE(24:5(9Z,12Z,15Z,18Z,21Z)/22:0)","C51H92NO8P"
"PE(24:4(9Z,12Z,15Z,18Z)/24:5(9Z,12Z,15Z,18Z,21Z))","C53H88NO8P"
"PE(18:3(9Z,12Z,15Z)/18:1(6Z))","C41H74NO8P"
"PE(16:2(9Z,12Z)/24:4(9Z,12Z,15Z,18Z))","C45H78NO8P"
"PE(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))","C41H72NO8P"
"PE(16:1(9Z)/4:0)","C25H48NO8P"
"PE(18:1(9Z)/18:1(11E))","C41H78NO8P"
"PE(18:1(9Z)/36:4(21Z,24Z,27Z,30Z))","C59H108NO8P"
"PE(14:1(9Z)/24:5(9Z,12Z,15Z,18Z,21Z))","C43H74NO8P"
"PE(15:0/15:0)","C35H70NO8P"
"PE(28:5(13Z,16Z,19Z,22Z,25Z)/28:5(13Z,16Z,19Z,22Z,25Z))","C61H102NO8P"
"PE(22:0/22:0)","C49H98NO8P"
"PE(2:0/34:4(19Z,22Z,25Z,28Z))","C41H74NO8P"
"PE(4:0/26:5(11Z,14Z,17Z,20Z,23Z))","C35H60NO8P"
"PE(4:0/2:0)","C11H22NO8P"
"PE(4:0/20:0)","C29H58NO8P"
"PE(4:0/28:0)","C37H74NO8P"
"PE(4:0/18:0)","C27H54NO8P"
"PE(10:0/20:5(5Z,8Z,11Z,14Z,17Z))","C35H60NO8P"
"PE(10:0/18:4(6Z,9Z,12Z,15Z))","C33H58NO8P"
"PE(22:0/34:6(16Z,19Z,22Z,25Z,28Z,31Z))","C61H110NO8P"
"PE(20:0/13:0)","C38H76NO8P"
"PE(20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C47H82NO8P"
"PE(20:0/22:4(7Z,10Z,13Z,16Z))","C47H86NO8P"
"PE(20:0/6:0)","C31H62NO8P"
"PE(20:0/28:0)","C53H106NO8P"
"PE(21:0/14:0)","C40H80NO8P"
"PE(17:0/15:0)","C37H74NO8P"
"PE(17:0/20:3(8Z,11Z,14Z))","C42H78NO8P"
"PE(26:0/18:1(9Z))","C49H96NO8P"
"PE(16:0/28:6(10Z,13Z,16Z,19Z,22Z,25Z))","C49H86NO8P"
"PE(16:0/38:4(23Z,26Z,29Z,32Z))","C59H110NO8P"
"PE(6:0/22:5(4Z,7Z,10Z,13Z,16Z))","C33H56NO8P"
"PE(6:0/20:3(8Z,11Z,14Z))","C31H56NO8P"
"PE(19:0/22:4(7Z,10Z,13Z,16Z))","C46H84NO8P"
"PE(19:0/18:1(9Z))","C42H82NO8P"
"PE(28:0/22:1(13Z))","C55H108NO8P"
"PE(28:0/30:5(15Z,18Z,21Z,24Z,27Z))","C63H116NO8P"
"PE(28:0/20:4(8Z,11Z,14Z,17Z))","C53H98NO8P"
"PE(28:0/18:3(9Z,12Z,15Z))","C51H96NO8P"
"PE(28:0/14:1(9Z))","C47H92NO8P"
"PE(8:0/30:0)","C43H86NO8P"
"PE(15:0/28:6(10Z,13Z,16Z,19Z,22Z,25Z))","C48H84NO8P"
"PE(15:0/28:5(10Z,13Z,16Z,19Z,22Z))","C48H86NO8P"
"PE(15:0/28:5(13Z,16Z,19Z,22Z,25Z))","C48H86NO8P"
"PE(3:0/19:0)","C27H54NO8P"
"PE(14:0/32:4(17Z,20Z,23Z,26Z))","C51H94NO8P"
"PE(30:0/24:4(9Z,12Z,15Z,18Z))","C59H110NO8P"
"PE(13:0/26:6(8Z,11Z,14Z,17Z,20Z,23Z))","C44H76NO8P"
"PE(13:0/20:3(8Z,11Z,14Z))","C38H70NO8P"
"PE(13:0/14:1(9Z))","C32H62NO8P"
"PE(0:0/28:5(10Z,13Z,16Z,19Z,22Z))","C33H58NO7P"
"PE(0:0/24:0)","C29H60NO7P"
"PC(P-13:0/24:1(15Z))","C45H88NO7P"
"PC(P-13:0/32:5(17Z,20Z,23Z,26Z,29Z))","C53H96NO7P"
"PC(P-18:1(11Z)/28:5(13Z,16Z,19Z,22Z,25Z))","C54H96NO7P"
"PC(P-18:1(11Z)/36:4(21Z,24Z,27Z,30Z))","C62H114NO7P"
"PC(P-18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))","C48H84NO7P"
"PC(P-18:1(11Z)/18:2(9Z,12Z))","C44H82NO7P"
"PC(P-18:1(11Z)/14:1(9Z))","C40H76NO7P"
"PC(P-18:1(11Z)/19:0)","C45H88NO7P"
"PC(P-18:1(11Z)/8:0)","C34H66NO7P"
"PC(P-18:1(11Z)/3:0)","C29H56NO7P"
"PC(P-15:0/20:4(5Z,8Z,11Z,14Z))","C43H78NO7P"
"PC(P-22:1(13Z)/22:5(4Z,7Z,10Z,13Z,16Z))","C52H92NO7P"
"PC(P-22:1(13Z)/18:1(9Z))","C48H92NO7P"
"PC(P-17:0/34:4(19Z,22Z,25Z,28Z))","C59H110NO7P"
"PC(P-17:0/28:0)","C53H106NO7P"
"PC(P-18:2(9Z,12Z)/22:1(13Z))","C48H90NO7P"
"PC(P-18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))","C48H84NO7P"
"PC(P-18:1(9Z)/34:6(16Z,19Z,22Z,25Z,28Z,31Z))","C60H106NO7P"
"PC(P-18:1(9Z)/16:2(9Z,12Z))","C42H78NO7P"
"PC(P-18:1(9Z)/3:0)","C29H56NO7P"
"PC(P-22:0/20:2(11Z,14Z))","C50H96NO7P"
"PC(P-22:0/17:0)","C47H94NO7P"
"PC(P-20:0/18:1(11Z))","C46H90NO7P"
"PC(P-20:0/34:4(19Z,22Z,25Z,28Z))","C62H116NO7P"
"PC(P-20:0/24:5(9Z,12Z,15Z,18Z,21Z))","C52H94NO7P"
"PC(P-26:0/28:4(13Z,16Z,19Z,22Z))","C62H116NO7P"
"PC(P-26:0/10:0)","C44H88NO7P"
"PC(P-16:0/18:2(9Z,12Z))","C42H80NO7P"
"PC(P-16:0/12:0)","C36H72NO7P"
"PC(P-28:0/18:4(6Z,9Z,12Z,15Z))","C54H100NO7P"
"PC(P-28:0/16:0)","C52H104NO7P"
"PC(P-28:0/3:0)","C39H78NO7P"
"PC(P-18:0/30:5(15Z,18Z,21Z,24Z,27Z))","C56H102NO7P"
"PC(P-24:0/22:3(10Z,13Z,16Z))","C54H102NO7P"
"PC(P-24:0/20:1(11Z))","C52H102NO7P"
